"location","source","target"
"pretix/control/templates/pretixcontrol/event/live.html:107","Enable test mode","Testmodus aktivieren"
"pretix/control/templates/pretixcontrol/event/logs.html:10","All actions","Alle Aktionen"
"pretix/control/templates/pretixcontrol/event/logs.html:12","Team actions","Team-Aktionen"
"pretix/control/templates/pretixcontrol/event/logs.html:15","Customer actions","Kunden-Aktionen"
"pretix/control/templates/pretixcontrol/event/logs.html:84","No results","Keine Ergebnisse"
"pretix/control/templates/pretixcontrol/event/mail.html:6","E-mail settings","E-Mail-Einstellungen"
"pretix/control/templates/pretixcontrol/event/mail.html:19","E-mail design","E-Mail-Design"
"pretix/control/templates/pretixcontrol/event/mail.html:32 pretix/control/templates/pretixcontrol/event/mail_settings_fragment.html:30 pretix/control/templates/pretixcontrol/event/tickets.html:29 pretix/control/templates/pretixcontrol/pdf/index.html:355","Preview","Vorschau"
"pretix/control/templates/pretixcontrol/event/mail.html:40","E-mail content","E-Mail-Inhalt"
"pretix/control/templates/pretixcontrol/event/mail.html:42","Placed order","Getätigte Bestellung"
"pretix/control/templates/pretixcontrol/event/mail.html:45","Paid order","Bezahlte Bestellung"
"pretix/control/templates/pretixcontrol/event/mail.html:48","Free order","Kostenlose Bestellung"
"pretix/control/templates/pretixcontrol/event/mail.html:51 pretix/control/templates/pretixcontrol/order/index.html:152","Resend link","Link erneut senden"
"pretix/control/templates/pretixcontrol/event/mail.html:57","Payment reminder","Zahlungserinnerung"
"pretix/control/templates/pretixcontrol/event/mail.html:60","Waiting list notification","Wartelisten-Benachrichtigung"
"pretix/control/templates/pretixcontrol/event/mail.html:66","Order custom mail","Individuelle E-Mail"
"pretix/control/templates/pretixcontrol/event/mail.html:69","Reminder to download tickets","Ticket-Download-Erinnerung"
"pretix/control/templates/pretixcontrol/event/mail.html:72","Order approval process","Freigabeprozess"
"pretix/control/templates/pretixcontrol/event/mail.html:77","SMTP settings","SMTP-Einstellungen"
"pretix/control/templates/pretixcontrol/event/mail.html:91","Save and test custom SMTP connection","Speichern und SMTP-Einstellung testen"
"pretix/control/templates/pretixcontrol/event/mail_settings_fragment.html:27 pretix/control/templates/pretixcontrol/organizers/team_members.html:10 pretix/control/templates/pretixcontrol/organizers/webhooks.html:66","Edit","Bearbeiten"
"pretix/control/templates/pretixcontrol/event/payment.html:5 pretix/control/templates/pretixcontrol/event/payment_provider.html:5","Payment settings","Zahlungseinstellungen"
"pretix/control/templates/pretixcontrol/event/payment.html:9","Payment providers","Zahlungsmethoden"
"pretix/control/templates/pretixcontrol/event/payment.html:21 pretix/control/templates/pretixcontrol/user/settings.html:44","Enabled","Aktiviert"
"pretix/control/templates/pretixcontrol/event/payment.html:26 pretix/control/templates/pretixcontrol/subevents/index.html:113 pretix/control/templates/pretixcontrol/user/settings.html:49","Disabled","Deaktiviert"
"pretix/control/templates/pretixcontrol/event/payment.html:41","There are no payment providers available. Please go to the plugin settings and activate one or more payment plugins.","Es sind keine Zahlungsmethoden verfügbar. Bitte gehe in die Erweiterungs-Einstellungen und aktiviere ein oder mehrere Zahlungsplugins."
"pretix/control/templates/pretixcontrol/event/payment.html:49","General payment settings","Allgemeine Zahlungseinstellungen"
"pretix/control/templates/pretixcontrol/event/payment_provider.html:13 pretix/control/templates/pretixcontrol/events/create_base.html:24","Back","Zurück"
"pretix/control/templates/pretixcontrol/event/payment_provider.html:15","Payment provider:","Zahlungsmethode:"
"pretix/control/templates/pretixcontrol/event/payment_provider.html:21","Warning:","Warnung:"
"pretix/control/templates/pretixcontrol/event/payment_provider.html:22","Please note that EU Directive 2015/2366 bans surcharging payment fees for most common payment methods within the European Union. If in doubt, consult a lawyer or refrain from charging payment fees.","Durch EU-Richtlinie 2015/2366 wird das Erheben von Zahlungsmittelgebühren für übliche Zahlungsmethoden innerhalb der Europäischen Union verboten. Im Zweifel kontaktiere bitte einen Anwalt oder verzichte auf die Erhebung von Zahlungsmittelgebühren."
"pretix/control/templates/pretixcontrol/event/payment_provider.html:28","In simple terms, this means you need to pay any fees imposed by the payment providers and cannot pass it on to your customers.","Einfach gesagt heißt das, dass du für die meisten Zahlungsmethoden die Gebühren selbst zahlen musst und nicht an deine Kunden weitergeben darfst."
"pretix/control/templates/pretixcontrol/event/plugins.html:5","Installed plugins","Installierte Erweiterungen"
"pretix/control/templates/pretixcontrol/event/plugins.html:11 pretix/control/views/checkin.py:211 pretix/control/views/event.py:142 pretix/control/views/event.py:229 pretix/control/views/event.py:308 pretix/control/views/event.py:359 pretix/control/views/event.py:537 pretix/control/views/event.py:804 pretix/control/views/event.py:1146 pretix/control/views/global_settings.py:25 pretix/control/views/global_settings.py:48 pretix/control/views/item.py:153 pretix/control/views/item.py:500 pretix/control/views/item.py:696 pretix/control/views/item.py:806 pretix/control/views/item.py:863 pretix/control/views/item.py:947 pretix/control/views/item.py:1017 pretix/control/views/item.py:1103 pretix/control/views/organizer.py:150 pretix/control/views/organizer.py:283 pretix/control/views/organizer.py:439 pretix/control/views/organizer.py:731 pretix/control/views/organizer.py:877 pretix/control/views/subevents.py:386 pretix/control/views/user.py:119 pretix/control/views/users.py:61 pretix/control/views/vouchers.py:183 pretix/plugins/badges/views.py:88 pretix/plugins/ticketoutputpdf/views.py:124","Your changes have been saved.","Deine Änderungen wurden gespeichert."
"pretix/control/templates/pretixcontrol/event/plugins.html:25","Incompatible","Nicht kompatibel"
"pretix/control/templates/pretixcontrol/event/plugins.html:27","Not available","Nicht verfügbar"
"pretix/control/templates/pretixcontrol/event/plugins.html:29 pretix/control/templates/pretixcontrol/oauth/app_delete.html:15 pretix/control/templates/pretixcontrol/user/2fa_disable.html:20 pretix/control/templates/pretixcontrol/user/2fa_main.html:21 pretix/control/templates/pretixcontrol/user/notifications.html:14","Disable","Deaktivieren"
"pretix/control/templates/pretixcontrol/event/plugins.html:31 pretix/control/templates/pretixcontrol/user/2fa_enable.html:21 pretix/control/templates/pretixcontrol/user/2fa_main.html:36 pretix/control/templates/pretixcontrol/user/notifications.html:23 pretix/control/templates/pretixcontrol/user/settings.html:51","Enable","Aktivieren"
"pretix/control/templates/pretixcontrol/event/plugins.html:38","Version %(v)s by <em>%(a)s</em>","Version %(v)s von <em>%(a)s</em>"
"pretix/control/templates/pretixcontrol/event/plugins.html:42","Version %(v)s","Version %(v)s"
"pretix/control/templates/pretixcontrol/event/plugins.html:49","This plugin needs to be enabled by a system administrator for your event.","Dieses Plugin muss von einem Systemadministrator für die Veranstaltung aktiviert werden."
"pretix/control/templates/pretixcontrol/event/plugins.html:54","This plugin cannot be enabled for the following reasons:","Dieses Plugin kann aus folgenden Gründen nicht aktiviert werden:"
"pretix/control/templates/pretixcontrol/event/plugins.html:64","This plugin reports the following problems:","Dieses Plugin hat folgende Probleme gemeldet:"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:14 pretix/control/templates/pretixcontrol/event/settings_base.html:10","Congratulations!","Herzlichen Glückwunsch!"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:16 pretix/control/templates/pretixcontrol/event/settings_base.html:12","You just created an event!","Du hast gerade eine Veranstaltung erstellt!"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:19","You can scroll down and create your first ticket products quickly, or you can use the navigation on the left to modify the settings of your event in much more detail.","Du kannst auf dieser Seite deine ersten Produkte einfach erstellen, oder die Navigation auf der linken Seite verwenden um deine Veranstaltung in allen Details anzupassen."
"pretix/control/templates/pretixcontrol/event/quick_setup.html:36","Create ticket types","Ticketarten erstellen"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:42","Ticket name","Ticket-Bezeichnung"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:48","Capacity (optional)","Kontingent (optional)"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:101","Add a new ticket type","Neue Ticketart hinzufügen"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:106","Total capacity:","Gesamtmenge Tickets:"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:109","You can set a limit on the total number of tickets sold for your event, regardless of the ticket type.","Du kannst die Gesamtzahl der verkauften Tickets begrenzen, unabhängig von der Art der Tickets."
"pretix/control/templates/pretixcontrol/event/quick_setup.html:118","If you want to use more advanced features like non-admission products, product variations, custom quotas, add-on products or want to modify your ticket types in more detail, you can later do so in the ""Products"" section in the navigation. Don't worry, you can change everything you input here.","Wenn du komplexere Funktionen wie zusätzliche Produkte, Produktvarianten oder freie Kontingentstrukturen nutzen willst, kannst du dies später über den Konfigurationsbereich ""Produkte"" in der linken Navigationsleiste tun. Keine Sorge, alles was du hier gibst, kannst du später noch ändern."
"pretix/control/templates/pretixcontrol/event/quick_setup.html:132","Features","Funktionen"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:134","We recommend that you take some time to go through the ""Settings"" part of your event, but if you're in a hurry and want to get started quickly, here's a short version:","Wir empfehlen, dass du dich die Zeit nimmst und die Einstellungen deiner Veranstaltungen in Ruhe durchgehst, aber wenn du schnell loslegen willst, ist hier die Kurzversion:"
"pretix/control/templates/pretixcontrol/event/quick_setup.html:153","pretix supports a <a href=""https://pretix.eu/about/en/features/payment"" target=""_blank"">wide range of payment providers</a> allowing you to choose the payment methods that fit your workflow best. Here are just two of them as examples, you can add more in the ""Settings"" part of your event.","pretix unterstützt <a href=""https://pretix.eu/about/de/features/payment"" target=""_blank"">eine breite Auswahl an Zahlungsanbietern</a>, aus denen du frei wählen kannst. Hier sind nur zwei Beispiele aufgeführt, weitere findest unter dem Menüpunkt ""Einstellungen"" unter ""Zahlung""."
"pretix/control/templates/pretixcontrol/event/quick_setup.html:173","After you saved this page, we will redirect you to Stripe to create or connect an account there. Once you completed this, you will be taken back to pretix.","Nachdem du auf dieser Seite gespeichert hast, leiten wir dich direkt zu Stripe weiter um dort ein Konto zu erstellen oder zu verbinden. Danach wirst du wieder zurück zu pretix geleitet."
"pretix/control/templates/pretixcontrol/event/quick_setup.html:188","Getting in touch with you","Kontaktaufnahme zu dir"
